stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,alias,stop_area,authority,lest_x,lest_y,kommentaar,kovde_oigusakt
24016,7400498-1,Nõmmküla,58.671718,23.1922938,,,,0,,,,,,,Muhu vald,Saaremaa,6503831.979,453140.03,,
116437,5900682-1,Sagadi mõis,59.5384202,26.0819998,,,,0,,,,,Viru2,,Haljala vald,Lääne-Virumaa,6601922.999,617776.875,KP; 541a/post puudub (30.01.2018),Haljala VV määrus 4.07.2018 nr 332
32542,4400472-1,Männiku,59.3662078,27.0146641,Sämi suunas,,,0,,,,,,,Lüganuse vald,Ida-Virumaa,6584761.119,671368.8,,
34160,7890016-1,Peedu,58.2372236,26.4485513,Rong Elva suunas,,,0,,,,,,,Elva vald,Tartumaa,6457780.999,643793.437,,
20385,7801166-1,Ülenurme,58.3158026,26.7187858,Võru suunas,,,0,,,,,,,Kambja vald,Tartumaa,6467136.999,659300.312,,
141293,8200787-1,Mesikäpa,57.8820152,26.2509495,,,,0,,,,,,,Valga vald,Valgamaa,6417834.499,633520.999,,
32590,5900920-1,Venevere,59.0131629,26.7089266,,,,0,,,,,Viru4,,Vinni vald,Lääne-Virumaa,6544723.999,655586.937,,Laekvere VV korraldus 1.09.2015 nr 146
20654,4400618-1,Paiste,59.283174,27.500551,Jõhvi suunas,,,0,,,,,,,Alutaguse vald,Ida-Virumaa,6576864.999,699448.25,,
20862,8400047-1,Aruküla,58.3969902,25.4482905,Viljandi suunas,,,0,,,,,,,Põhja-Sakala vald,Viljandimaa,,,,
24673,7800335-1,Alakeerdi,58.270958,26.1759942,Väike-Rakke suunas,,,0,,,,,,,Elva vald,Tartumaa,6460984.499,627671.374,,
20685,7400449-1,Mustla,58.3615139,22.6095304,,,,0,,,,,,,Saaremaa vald,Saaremaa,6469842.92,418618.04,,
23072,8400451-1,Maiste,58.3547094,25.5544417,Pärnu suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
22650,3700042-1,Hüti,58.9074259,22.4968195,,,,0,,,,,,,Hiiu vald,Hiiumaa,6530774.54,413384.81,,
14444,47032-1,Rootsikari,59.5137549,25.19238,,,,0,,,,,Harju3,,Jõelähtme vald,Harjumaa,6597947.112,567507.997,Ajutine peatus 04.2021 - kohanimi olemas,Jõelähtme valla korraldus nr 955 12.11.2020
25156,8600739-1,Uue-Antsla,57.8810651,26.5439784,Kuldre suunas,,,0,,,,,,,Antsla vald,Võrumaa,6418350.0,650898.937,,
30858,8600812-1,Vindi,57.820647,27.0029216,Laane suunas,,,0,,,,,,,Võru linn,Võrumaa,6412752.979,678406.03,,
26438,7800318-1,Kukemetsa,58.5194197,26.7691892,Tartu suunas,,,0,,,,,,,Tartu vald,Tartumaa,6489917.07,661315.92,,
29783,6500467-1,Pikajärve,58.0676336,26.5961091,Kitseaia suunas,,,0,,,,,,,Kanepi vald,Põlvamaa,6439232.5,653185.562,,
161137,7000855-1,Tammejussi,59.1654662,24.7072139,,,,0,,,,,Kohila,,Kohila vald,Raplamaa,6558760.5,540450.187,,Kohila VV määrus 05.08.2024 nr 2-2/191
152639,4990050-1,Kõpu veehoidla,58.7418577,26.2448692,,,,0,,,,,,,Põltsamaa vald,Jõgevamaa,,,,
143418,8490141-1,Uusna,58.3897593,25.7447705,Tartu suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
92181,8200356-1,Mälle,57.9557818,26.5427219,Antsla suunas,,,0,,,,,,,Otepää vald,Valgamaa,6426662.999,650509.062,,
23191,7000299-1,Mälivere,59.1187502,24.7891931,,,,0,,,,,Kohila,,Kohila vald,Raplamaa,6553609.289,545200.13,endine Lohu jaam,Kohila VV määrus 02.11.2015 nr 306
151317,27007-1,Pansionaat,59.5099064,25.1903629,,,,0,,,,,Harju3,,Jõelähtme vald,Harjumaa,6597516.399,567401.421,"lisatud PIKAS 03.2021, looduses olemas",Jõelähtme valla korraldus nr 354 22.04.2021
25389,8400919-1,Tamme,58.359656,25.40276,Pärnu suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
12859,23688-1,Lepalinnu,59.5465444,24.8816943,,,,0,,,,,Harju2,,Viimsi vald,Harjumaa,6601327.905,549871.338,,Viimsi VV korraldus 14.10.2020 nr 599
33586,5100391-1,Põikva,58.7082079,25.3615305,,,,0,,,,,tartu2,,Türi vald,Järvamaa,6508415.0,578904.687,,
4783,21762-1,Viigardi,59.2534648,24.2840338,,,,0,,,,,Harju4A,,Lääne-Harju vald,Harjumaa,6568384.282,516204.491,,Lääne-Harju Vallavalitsus 27.11.2018 määrus nr 11
22005,6700507-1,Luite,58.1468458,24.5025083,,,,0,,,,,,,Häädemeeste vald,Pärnumaa,6445201.029,529591.95,,
142006,8200809-1,Tibina,57.7837891,26.0915848,,,,0,,,,,,,Valga vald,Valgamaa,6406593.499,624412.125,,
26946,8400921-1,Tangu,58.5231532,25.8704989,Kolga-Jaani suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
24540,8600130-1,Kalda,57.6282923,26.8376037,Tikutaja suunas,,,0,,,,,,,Rõuge vald,Võrumaa,6390920.02,669496.45,,
32165,5900256-1,Koila,58.9291564,26.3793323,,,,0,,,,,Viru4,,Väike-Maarja vald,Lääne-Virumaa,6534654.499,636997.062,541a/post puudub (20.03.2018),Väike-Maarja VV määrus 5.09.2018 nr 526
27901,7000313-1,Lungu,58.8586663,25.1675824,,,,0,,,,,Rapla2,,Türi vald,Järvamaa,6524959.23,567374.36,,
152372,30601-2,Kuusalu keskus,59.4454678,25.4345083,Tallinna suunas,,,0,,,,,Harju4B,Kuusalu,Kuusalu vald,Harjumaa,6590609.607,581377.151,lisapeatus 07.2021 TLN-SSE,
